N° auto;nom;adresse;complément;code INSEE;commune;région administrative;geo_ban;geo_insee;corrdonnees_finales
347162;ARIEL 1;99 AVENUE PAUL DOUMER;;92063;Rueil-Malmaison;ILE-DE-FRANCE;48.879844, 2.180852;48.8691897371, 2.1773406315;48.879844, 2.180852
24753;STARS 5;13 AV DU GENERAL DE GAULLE;;91021;Arpajon;ILE-DE-FRANCE;48.590692, 2.250123;48.5908921647, 2.24349117607;48.590692, 2.250123
123905;CAMILLE ST SAENS(EX-ESP CARP);15 BOULEVARD ARISTIDE BRIAND;;92026;Courbevoie;ILE-DE-FRANCE;48.899883, 2.259136;48.8984504771, 2.25570587289;48.899883, 2.259136
149335;PIERRE FRESNAY;3 RUE SAINT FLAIVE;;95219;Ermont;ILE-DE-FRANCE;48.988575, 2.259906;48.98824217, 2.25662443737;48.988575, 2.259906
288151;LE VILLAGE 1;4 RUE DE CHEZY;;92051;Neuilly-sur-Seine;ILE-DE-FRANCE;48.885364, 2.268222;48.8853719688, 2.26642584746;48.885364, 2.268222
202214;CINE D'ISSY;MAIL RAYMOND MENAND;;92040;Issy-les-Moulineaux;ILE-DE-FRANCE;48.825247, 2.271161;48.82347434, 2.26449823277;48.825247, 2.271161
2251;MAJESTIC PASSY 1;18 - 20 RUE DE PASSY;;75116;Paris 16me;ILE-DE-FRANCE;48.858204, 2.282104;48.8603987604, 2.2620995594;48.858204, 2.282104
9700;PATHE 1;7 RUE LINOIS;CENTRE COMMERCIAL BEAUGRENELLE;75115;Paris 15me;ILE-DE-FRANCE;48.848895, 2.282585;48.8401554186, 2.29355937244;48.848895, 2.282585
612;UGC MAILLOT 3;PALAIS CONGRES PL PORTE MAILLOT;;75117;Paris 17me;ILE-DE-FRANCE;48.878577, 2.283835;48.8873371665, 2.30748555949;48.878577, 2.283835
45132;BEAUMONT PALACE;6 AV ANATOLE FRANCE;;95052;Beaumont-sur-Oise;ILE-DE-FRANCE;49.141412, 2.283076;49.1400981058, 2.30021267239;49.141412, 2.283076
163962;LE SCARRON;8 AV. JEANNE ET MAURICE DOLIVET;;92032;Fontenay-aux-Roses;ILE-DE-FRANCE;48.791543, 2.289748;48.7897301312, 2.28723493557;48.791543, 2.289748
31;UGC NORMANDIE 1;116 AVENUE DES CHAMPS ELYSEES;;75108;Paris 8me;ILE-DE-FRANCE;48.872265, 2.300938;48.8725272666, 2.31258256042;48.872265, 2.300938
9350;ELYSEES BIARRITZ;22 RUE QUENTIN BAUCHART;;75108;Paris 8me;ILE-DE-FRANCE;48.870569, 2.301955;48.8725272666, 2.31258256042;48.870569, 2.301955
276554;CINE MONTROUGE;88 RUE RACINE;;92049;Montrouge;ILE-DE-FRANCE;48.813222, 2.311441;48.8153032159, 2.31648921432;48.813222, 2.311441
2991;SAINT LAZARE PASQUIER 1;44 RUE PASQUIER;;75108;Paris 8me;ILE-DE-FRANCE;48.874832, 2.323941;48.8725272666, 2.31258256042;48.874832, 2.323941
803;BRETAGNE 1;73 BD DU MONTPARNASSE;;75106;Paris 6me;ILE-DE-FRANCE;48.843752, 2.324925;48.8489680919, 2.33267089859;48.843752, 2.324925
3211;LE CINEMA DES CINEASTES 1;7 AVENUE DE CLICHY;;75117;Paris 17me;ILE-DE-FRANCE;48.884303, 2.326888;48.8873371665, 2.30748555949;48.884303, 2.326888
2982;CAUMARTIN 4 (EX CINEVOG 4 );101 RUE ST LAZARE;;75109;Paris 9me;ILE-DE-FRANCE;48.87561, 2.32791;48.8768961624, 2.33746024139;48.87561, 2.32791
3222;PATHE WEPLER 8;132 -140 BOULEVARD DE CLICHY;;75118;Paris 18me;ILE-DE-FRANCE;48.883938, 2.328034;48.8927350746, 2.34871193387;48.883938, 2.328034
814;LUCERNAIRE FORUM  GRANDE SAL;53 RUE NOTRE DAME DES CHAMPS;;75106;Paris 6me;ILE-DE-FRANCE;48.844244, 2.330407;48.8489680919, 2.33267089859;48.844244, 2.330407
891;ST GERMAIN DES PRES;22 RUE GUILLAUME APOLLINAIRE;;75106;Paris 6me;ILE-DE-FRANCE;48.85467, 2.333052;48.8489680919, 2.33267089859;48.85467, 2.333052
3741;STUDIO 28;10 RUE THOLOZE;;75118;Paris 18me;ILE-DE-FRANCE;48.886142, 2.335342;48.8927350746, 2.34871193387;48.886142, 2.335342
193442;LA TOURNELLE;14 RUE DISPAN;;94038;L'Hay-les-Roses;ILE-DE-FRANCE;48.779749, 2.339014;48.7763207843, 2.33772915609;48.779749, 2.339014
8353;UGC ODEON 2;124 BD ST GERMAIN;;75106;Paris 6me;ILE-DE-FRANCE;48.852353, 2.339834;48.8489680919, 2.33267089859;48.852353, 2.339834
883;STUDIO CHRISTINE 1;4 RUE CHRISTINE;;75106;Paris 6me;ILE-DE-FRANCE;48.854455, 2.340132;48.8489680919, 2.33267089859;48.854455, 2.340132
8392;ACCATONE;20 RUE CUJAS;;75105;Paris 5me;ILE-DE-FRANCE;48.84815, 2.341975;48.8445086596, 2.34985938556;48.84815, 2.341975
8425;QUARTIER LATIN 1;9 RUE CHAMPOLLION;;75105;Paris 5me;ILE-DE-FRANCE;48.849504, 2.342788;48.8445086596, 2.34985938556;48.849504, 2.342788
8422;LE CHAMPO SALLE 1;51 RUE DES ECOLES;;75105;Paris 5me;ILE-DE-FRANCE;48.849983, 2.343211;48.8445086596, 2.34985938556;48.849983, 2.343211
733;STUDIO GALANDE;42 RUE GALANDE;;75105;Paris 5me;ILE-DE-FRANCE;48.851619, 2.347076;48.8445086596, 2.34985938556;48.851619, 2.347076
110761;SALLE ANDRE MALRAUX;102 AV DU GENERAL DE GAULLE;;94021;Chevilly-Larue;ILE-DE-FRANCE;48.770432, 2.350955;48.766848001, 2.35306611234;48.770432, 2.350955
9600;MK2 BIBLIOTHEQUE A;128 A 162 AVENUE DE FRANCE;;75113;Paris 13me;ILE-DE-FRANCE;48.833718, 2.373922;48.8287176845, 2.36246822852;48.833718, 2.373922
9900;MK2 QUAI DE LOIRE 1;5/19 QUAI DE LA LOIRE;;75119;Paris 19me;ILE-DE-FRANCE;48.885067, 2.374123;48.886868623, 2.38469432787;48.885067, 2.374123
463353;CALYPSO A;38 RUE VICTOR BASCH;;91687;Viry-Châtillon;ILE-DE-FRANCE;48.681815, 2.379391;48.6696168935, 2.37374357641;48.681815, 2.379391
9920;PATHE  02;30 AVENUE CORENTIN CARIOU;;75119;Paris 19me;ILE-DE-FRANCE;48.897016, 2.385181;48.886868623, 2.38469432787;48.897016, 2.385181
298964;SALLE ARAGON;1 PLACE DU FER A CHEVAL;;94054;Orly;ILE-DE-FRANCE;;48.7429320073, 2.39468296999;48.7429320073, 2.39468296999
5691;MK2 GAMBETTA 1;6 RUE BELGRAND;;75120;Paris 20me;ILE-DE-FRANCE;48.864763, 2.399555;48.8631867774, 2.40081982673;48.864763, 2.399555
